iter	Passed	Remaining
0	30	7955
1	63	8113
2	95	8153
3	150	9561
4	195	9872
5	226	9521
6	255	9165
7	285	8924
8	314	8691
9	346	8604
10	376	8455
11	411	8434
12	442	8339
13	470	8204
14	502	8134
15	535	8095
16	564	8004
17	591	7881
18	618	7785
19	645	7686
20	674	7615
21	705	7564
22	736	7520
23	762	7437
24	796	7423
25	823	7352
26	853	7300
27	881	7239
28	909	7181
29	945	7188
30	978	7163
31	1009	7126
32	1038	7081
33	1067	7032
34	1101	7016
35	1148	7080
36	1191	7114
37	1223	7083
38	1252	7030
39	1287	7018
40	1319	6984
41	1346	6925
42	1374	6872
43	1411	6865
44	1439	6812
45	1480	6824
46	1512	6789
47	1546	6767
48	1573	6713
49	1601	6663
50	1634	6635
51	1665	6596
52	1694	6555
53	1723	6510
54	1760	6497
55	1788	6453
56	1822	6427
57	1851	6384
58	1879	6340
59	1913	6315
60	1943	6277
61	1972	6234
62	2008	6217
63	2048	6209
64	2082	6184
65	2131	6201
66	2180	6215
67	2216	6193
68	2253	6173
69	2286	6141
70	2315	6097
71	2342	6051
72	2368	6003
73	2402	5972
74	2435	5942
75	2462	5897
76	2489	5852
77	2517	5809
78	2546	5768
79	2575	5730
80	2605	5693
81	2634	5654
82	2665	5620
83	2700	5594
84	2734	5564
85	2768	5536
86	2800	5504
87	2828	5464
88	2855	5423
89	2887	5389
90	2920	5358
91	2954	5330
92	2985	5297
93	3018	5266
94	3047	5228
95	3078	5195
96	3112	5165
97	3167	5171
98	3212	5159
99	3243	5124
100	3276	5093
101	3304	5054
102	3331	5013
103	3360	4976
104	3395	4947
105	3424	4910
106	3451	4870
107	3477	4830
108	3507	4793
109	3540	4764
110	3572	4731
111	3612	4709
112	3642	4674
113	3673	4640
114	3711	4614
115	3744	4583
116	3780	4555
117	3817	4528
118	3854	4502
119	3887	4470
120	3920	4438
121	3955	4409
122	3988	4377
123	4021	4346
124	4050	4309
125	4075	4269
126	4104	4233
127	4165	4230
128	4201	4201
129	4241	4176
130	4274	4143
131	4304	4108
132	4333	4073
133	4369	4043
134	4399	4008
135	4428	3972
136	4464	3943
137	4498	3911
138	4531	3879
139	4566	3849
140	4600	3817
141	4633	3784
142	4680	3764
143	4717	3734
144	4751	3702
145	4785	3670
146	4824	3642
147	4861	3613
148	4895	3581
149	4930	3549
150	4967	3519
151	5002	3488
152	5035	3455
153	5068	3422
154	5101	3389
155	5176	3384
156	5245	3374
157	5280	3341
158	5310	3306
159	5338	3270
160	5370	3235
161	5399	3199
162	5429	3164
163	5456	3127
164	5485	3092
165	5518	3058
166	5549	3024
167	5576	2987
168	5606	2952
169	5641	2920
170	5675	2887
171	5713	2856
172	5754	2827
173	5790	2795
174	5828	2764
175	5859	2729
176	5895	2698
177	5931	2665
178	5966	2633
179	5999	2599
180	6034	2567
181	6070	2534
182	6103	2501
183	6169	2481
184	6208	2449
185	6244	2417
186	6276	2382
187	6315	2351
188	6347	2317
189	6377	2282
190	6414	2249
191	6447	2216
192	6476	2181
193	6513	2148
194	6551	2116
195	6588	2083
196	6627	2052
197	6664	2019
198	6697	1985
199	6728	1951
200	6764	1918
201	6798	1884
202	6832	1851
203	6870	1818
204	6906	1785
205	6939	1751
206	6975	1718
207	7009	1684
208	7043	1651
209	7078	1618
210	7116	1585
211	7171	1556
212	7217	1524
213	7250	1490
214	7287	1457
215	7314	1422
216	7343	1387
217	7378	1353
218	7416	1320
219	7451	1287
220	7485	1253
221	7521	1219
222	7560	1186
223	7594	1152
224	7629	1119
225	7668	1085
226	7704	1052
227	7738	1018
228	7774	984
229	7805	950
230	7837	916
231	7872	882
232	7903	848
233	7938	814
234	7974	780
235	8009	746
236	8042	712
237	8079	678
238	8116	645
239	8163	612
240	8230	580
241	8259	546
242	8287	511
243	8315	477
244	8346	442
245	8383	408
246	8418	374
247	8455	340
248	8484	306
249	8519	272
250	8548	238
251	8585	204
252	8617	170
253	8661	136
254	8696	102
255	8737	68
256	8770	34
257	8804	0
