iter	Logloss
0	0.6144125718
1	0.5476517277
2	0.4901538026
3	0.4416666455
4	0.4003352962
5	0.3654395809
6	0.3357133605
7	0.3108197265
8	0.2894315706
9	0.2712533818
10	0.2555652247
11	0.2421639835
12	0.2306971558
13	0.2208936024
14	0.2123918572
15	0.2050004333
16	0.1985853126
17	0.1930417811
18	0.1882234227
19	0.1840134703
20	0.1803147417
21	0.1770977734
22	0.1742814278
23	0.1718024018
24	0.1696055342
25	0.1676882657
26	0.1659966417
27	0.1644808844
28	0.1631640659
29	0.1619984506
30	0.1609379734
31	0.1600128404
32	0.1591533044
33	0.1583967185
34	0.1577250493
35	0.1571427655
36	0.1566222464
37	0.1561469437
38	0.1557171757
39	0.1553400894
40	0.1549984603
41	0.1546774768
42	0.1544128083
43	0.1541533776
44	0.1539306635
45	0.1537240604
46	0.1535450511
47	0.1533950414
48	0.1532443687
49	0.1531120875
50	0.1529954265
51	0.1528853292
52	0.1527867017
53	0.1526932191
54	0.1526137258
55	0.152539311
56	0.1524742577
57	0.1524163648
58	0.1523604343
59	0.1523042519
60	0.1522564631
61	0.1522175187
62	0.1521804969
63	0.1521455304
64	0.1521097684
65	0.152078687
66	0.152052618
67	0.1520262307
68	0.1519996047
69	0.151976002
70	0.1519598249
71	0.1519405582
72	0.1519219147
73	0.1519042923
74	0.1518911119
75	0.1518782232
76	0.1518665677
77	0.1518538912
78	0.1518419042
79	0.1518302885
80	0.1518247591
81	0.1518145755
82	0.1518069908
83	0.1518001487
84	0.1517939298
85	0.1517869948
86	0.1517836268
87	0.1517779515
88	0.1517715072
89	0.1517667601
90	0.1517606341
91	0.1517561522
92	0.1517534074
93	0.1517513521
94	0.1517473078
95	0.1517423353
96	0.1517392192
97	0.1517340346
98	0.1517283461
99	0.1517266356
100	0.1517248587
101	0.1517217426
102	0.1517175392
103	0.1517137469
104	0.1517123016
105	0.1517093313
106	0.1517079921
107	0.1517059633
108	0.1517036296
109	0.1517016936
110	0.1516987366
111	0.1516972383
112	0.1516961112
113	0.1516943476
114	0.1516927034
115	0.151690489
116	0.1516883939
117	0.1516868955
118	0.1516854104
119	0.1516841905
120	0.1516830103
121	0.1516807031
122	0.1516790456
123	0.1516781174
124	0.1516767251
125	0.1516753328
126	0.1516740599
127	0.1516726941
128	0.151670599
129	0.1516689548
130	0.1516676686
131	0.1516656266
132	0.1516645658
133	0.1516629215
134	0.1516622453
135	0.1516604287
136	0.1516595933
137	0.1516585988
138	0.1516575115
139	0.1516567557
140	0.1516556683
141	0.1516539976
142	0.1516530827
143	0.151651876
144	0.1516512395
145	0.1516499533
146	0.1516486406
147	0.151647235
148	0.1516462538
149	0.151645246
150	0.1516439731
151	0.1516431907
152	0.1516422758
153	0.1516414272
154	0.1516389608
155	0.1516383774
156	0.1516372238
157	0.1516370116
158	0.1516361895
159	0.1516353143
160	0.1516344789
161	0.1516332458
162	0.151632596
163	0.1516311905
164	0.1516295065
165	0.1516282733
166	0.151627186
167	0.1516252633
168	0.1516241229
169	0.1516232345
170	0.151622187
171	0.151621524
172	0.1516206886
173	0.1516202113
174	0.1516193759
175	0.1516188985
176	0.1516186996
177	0.1516183283
178	0.1516179703
179	0.1516177051
180	0.1516171615
181	0.1516162996
182	0.1516157161
183	0.1516150001
184	0.1516146421
185	0.1516133824
186	0.1516120962
187	0.151611831
188	0.1516107304
189	0.1516099878
190	0.1516095105
191	0.1516087547
192	0.1516082906
193	0.1516073491
194	0.1516063944
195	0.1516052408
196	0.1516050154
197	0.1516040209
198	0.1516031457
199	0.1516028407
200	0.1516025755
201	0.1516016208
202	0.1516010109
203	0.1516005865
204	0.1516002153
205	0.1515993136
206	0.151599234
207	0.1515985047
208	0.1515981202
209	0.1515973113
210	0.1515967014
211	0.1515960251
212	0.1515942615
213	0.1515934925
214	0.151592246
215	0.1515918217
216	0.1515909731
217	0.1515893023
218	0.1515879763
