iter	Passed	Remaining
0	21	4642
1	41	4552
2	65	4702
3	85	4576
4	106	4570
5	127	4540
6	146	4427
7	165	4364
8	185	4338
9	206	4325
10	227	4303
11	246	4245
12	267	4241
13	286	4191
14	307	4176
15	329	4181
16	348	4145
17	367	4108
18	387	4079
19	409	4074
20	433	4085
21	455	4082
22	477	4066
23	497	4038
24	517	4016
25	540	4008
26	562	3998
27	584	3990
28	604	3961
29	628	3958
30	657	3986
31	677	3961
32	697	3933
33	718	3907
34	739	3887
35	759	3862
36	781	3842
37	802	3824
38	824	3803
39	843	3774
40	865	3755
41	886	3737
42	907	3712
43	929	3696
44	950	3676
45	971	3652
46	992	3630
47	1011	3604
48	1032	3581
49	1052	3558
50	1072	3533
51	1096	3520
52	1117	3500
53	1138	3478
54	1159	3456
55	1181	3437
56	1200	3412
57	1220	3388
58	1240	3364
59	1261	3343
60	1286	3332
61	1308	3312
62	1331	3297
63	1352	3275
64	1374	3255
65	1395	3235
66	1419	3221
67	1441	3201
68	1463	3182
69	1486	3163
70	1507	3141
71	1527	3119
72	1548	3097
73	1569	3074
74	1591	3056
75	1612	3033
76	1632	3011
77	1653	2988
78	1685	2986
79	1712	2976
80	1735	2956
81	1755	2933
82	1776	2911
83	1798	2890
84	1821	2871
85	1842	2849
86	1864	2828
87	1888	2811
88	1913	2794
89	1936	2775
90	1958	2754
91	1979	2732
92	2001	2711
93	2023	2691
94	2046	2670
95	2066	2647
96	2087	2625
97	2108	2603
98	2129	2581
99	2150	2558
100	2170	2535
101	2189	2511
102	2210	2489
103	2230	2466
104	2249	2442
105	2268	2418
106	2288	2395
107	2311	2375
108	2332	2353
109	2352	2331
110	2373	2309
111	2394	2287
112	2416	2267
113	2437	2245
114	2457	2222
115	2479	2201
116	2500	2179
117	2521	2157
118	2542	2136
119	2563	2115
120	2584	2093
121	2604	2071
122	2625	2049
123	2645	2027
124	2666	2005
125	2687	1983
126	2713	1965
127	2736	1945
128	2757	1923
129	2779	1902
130	2799	1880
131	2819	1858
132	2840	1836
133	2860	1814
134	2881	1792
135	2901	1770
136	2921	1748
137	2942	1727
138	2962	1705
139	2983	1683
140	3004	1661
141	3024	1640
142	3045	1618
143	3065	1596
144	3086	1575
145	3107	1553
146	3127	1532
147	3150	1511
148	3170	1489
149	3190	1467
150	3214	1447
151	3235	1426
152	3258	1405
153	3279	1384
154	3300	1362
155	3320	1340
156	3343	1320
157	3364	1299
158	3386	1277
159	3410	1257
160	3432	1236
161	3453	1215
162	3474	1193
163	3494	1171
164	3517	1151
165	3537	1129
166	3560	1108
167	3580	1086
168	3602	1065
169	3623	1044
170	3644	1023
171	3665	1001
172	3684	979
173	3705	958
174	3726	936
175	3754	917
176	3777	896
177	3798	875
178	3820	853
179	3841	832
180	3861	810
181	3881	789
182	3903	767
183	3924	746
184	3947	725
185	3968	704
186	3990	682
187	4011	661
188	4032	640
189	4052	618
190	4075	597
191	4098	576
192	4119	555
193	4141	533
194	4161	512
195	4182	490
196	4204	469
197	4225	448
198	4245	426
199	4270	405
200	4291	384
201	4310	362
202	4333	341
203	4357	320
204	4377	298
205	4402	277
206	4423	256
207	4445	235
208	4469	213
209	4490	192
210	4512	171
211	4534	149
212	4554	128
213	4576	106
214	4598	85
215	4617	64
216	4638	42
217	4659	21
218	4682	0
